"State House Districts","American Indian and Alaska native alone (Race)","Asian alone (Race)","Black or African American alone (Race)","Native Hawaiian and Other Pacific native alone (Race)","Some other race alone (Race)","Two or more races (Race)","White alone (Race)","Female (Gender)","Male (Gender)"
"060","120","318","584","15","391","565","35936","20422","17507"
"061","245","549","1453","25","1348","1355","32712","19602","18085"
"062","417","403","781","10","528","994","35841","20270","18704"
"063","116","234","545","7","387","525","35095","19365","17544"
"064","243","460","1410","19","1084","1022","35825","20589","19474"
"065","83","570","625","14","254","830","33540","18744","17172"
"066","63","285","389","2","158","506","38722","20181","19944"
"067","83","464","2116","7","801","1246","33680","20115","18282"
"068","68","419","530","7","403","535","35813","19523","18252"
"069","89","1134","896","15","267","557","36520","20115","19363"
"070","91","1861","1180","33","1140","851","34444","20267","19333"
"071","108","361","1727","10","1111","1218","33445","19734","18246"
"072","68","442","342","8","236","518","40557","21458","20713"
"073","66","353","1093","16","697","905","39651","22323","20458"
"074","78","647","1162","18","795","779","34102","19809","17772"
"075","123","1059","1592","7","1550","1195","32282","19779","18029"
"076","66","719","867","10","768","742","35270","19803","18639"
"077","112","793","1202","11","1233","963","40540","22589","22265"
"078","57","284","435","13","462","597","37526","20245","19129"
"079","556","277","1155","15","2428","1282","33634","20240","19107"
"080","280","437","2008","14","2574","1599","34389","21209","20092"
"081","404","337","3005","20","5143","2701","29189","21271","19528"
"082","76","1450","791","22","389","723","41080","22758","21773"
"083","80","399","256","9","215","569","40454","22012","19970"
"084","42","378","230","7","173","399","40790","21561","20458"
"085","150","656","1571","14","3229","1249","34169","21274","19764"
"086","95","922","357","13","460","523","38520","20721","20169"
"087","48","349","296","33","331","489","37699","20442","18803"
"088","62","686","647","23","584","632","36868","20781","18721"
"089","173","1095","2040","21","2909","1408","33694","22107","19233"
"090","76","776","1103","7","1019","746","35903","20876","18754"
"091","65","1081","646","2","539","640","38990","21863","20100"
"092","303","2551","5666","18","7590","2259","22753","20832","20308"
"093","306","3356","4970","60","6699","1839","22580","20411","19399"
"094","83","844","1143","5","1817","771","39197","23193","20667"
"095","43","689","376","4","232","388","38237","20968","19001"
"096","242","1948","1913","18","7276","1496","29406","22173","20126"
"097","158","1520","1393","10","3676","1096","35270","22534","20589"
"098","608","554","3450","32","18850","3069","15097","21597","20063"
"099","153","3229","1214","21","4655","1154","31740","21778","20388"
"100","96","724","513","14","390","931","39756","21726","20698"
"101","133","427","509","6","463","836","38585","21135","19824"
"102","101","398","338","4","239","658","39430","20678","20490"
"103","37","1315","1041","5","793","622","38944","22333","20424"
"104","77","589","533","3","257","510","39312","21306","19975"
"105","103","534","663","10","908","754","38122","21004","20090"
